PATH,ROW,LATITUDE,LONGITUDE
3,177,-67.8271,78.8196
3,178,-68.6493,77.7994
3,179,-69.4655,76.7066
3,180,-70.275,75.5328
3,181,-71.0771,74.2684
3,182,-71.8707,72.9025
3,183,-72.6546,71.4223
3,184,-73.4276,69.8134
3,185,-74.188,68.059
3,186,-74.934,66.1401
3,187,-75.6633,64.035
3,188,-76.3733,61.719
3,189,-77.0607,59.1645
3,190,-77.7219,56.3412
3,191,-78.3524,53.2167
3,192,-78.9469,49.7576
3,193,-79.4993,45.9322
3,194,-80.0027,41.7135
3,195,-80.4494,37.0852
3,196,-80.831,32.0477
3,197,-81.1391,26.6255
3,198,-81.3659,20.873
3,199,-81.5049,14.8767
4,1,81.5049,-165.794
4,2,81.3659,-171.791
4,3,81.1391,-177.543
4,4,80.831,177.035
4,5,80.4494,171.997
4,6,80.0027,167.369
4,7,79.4993,163.15
4,8,78.9469,159.325
4,9,78.3524,155.866
4,10,77.7219,152.741
4,11,77.0607,149.918
4,12,76.3733,147.364
4,13,75.6633,145.047
4,14,74.934,142.942
4,15,74.188,141.023
4,16,73.4276,139.269
4,17,72.6546,137.66
4,18,71.8707,136.18
4,19,71.0771,134.814
4,20,70.275,133.55
4,21,69.4655,132.376
4,22,68.6493,131.283
4,23,67.8271,130.263
4,24,66.9996,129.308
4,25,66.1673,128.412
4,26,65.3307,127.568
4,27,64.4902,126.773
4,28,63.6462,126.022
4,29,62.7989,125.31
4,30,61.9486,124.635
4,31,61.0957,123.993
4,32,60.2402,123.381
4,33,59.3825,122.797
4,34,58.5226,122.239
4,35,57.6607,121.704
4,36,56.797,121.191
4,37,55.9316,120.699
4,38,55.0646,120.225
4,39,54.1961,119.768
4,40,53.3262,119.328
4,41,52.455,118.903
4,42,51.5826,118.491
4,43,50.709,118.093
4,44,49.8343,117.707
4,45,48.9585,117.332
4,46,48.0818,116.969
4,47,47.2041,116.615
4,48,46.3255,116.27
4,49,45.4461,115.935
4,50,44.5658,115.608
4,51,43.6848,115.288
4,52,42.803,114.976
4,53,41.9206,114.671
4,54,41.0374,114.373
4,55,40.1536,114.08
4,56,39.2692,113.794
4,57,38.3842,113.513
4,58,37.4986,113.237
4,59,36.6125,112.967
4,60,35.7258,112.701
4,61,34.8387,112.439
4,62,33.951,112.182
4,63,33.0629,111.928
4,64,32.1743,111.679
4,65,31.2853,111.433
4,66,30.3958,111.19
4,67,29.506,110.951
4,68,28.6157,110.714
4,69,27.7251,110.481
4,70,26.8342,110.25
4,71,25.9429,110.022
4,72,25.0512,109.796
4,73,24.1593,109.573
4,74,23.267,109.351
4,75,22.3744,109.132
4,76,21.4816,108.915
4,77,20.5885,108.7
4,78,19.6951,108.486
4,79,18.8015,108.275
4,80,17.9077,108.064
4,81,17.0137,107.856
4,82,16.1194,107.648
4,83,15.225,107.442
4,84,14.3303,107.237
4,85,13.4355,107.033
4,86,12.5405,106.83
4,87,11.6454,106.628
4,88,10.7502,106.427
4,89,9.85476,106.227
4,90,8.95925,106.028
4,91,8.06363,105.829
4,92,7.16791,105.631
4,93,6.27211,105.433
4,94,5.37623,105.236
4,95,4.48029,105.039
4,96,3.5843,104.843
4,97,2.68826,104.646
4,98,1.79219,104.45
4,99,0.896101,104.255
4,100,-0,104.059
4,101,-0.896101,103.863
4,102,-1.79219,103.667
4,103,-2.68826,103.471
4,104,-3.5843,103.275
4,105,-4.48029,103.078
4,106,-5.37623,102.881
4,107,-6.27211,102.684
4,108,-7.16791,102.487
4,109,-8.06363,102.288
4,110,-8.95925,102.09
4,111,-9.85476,101.89
4,112,-10.7502,101.69
4,113,-11.6454,101.489
4,114,-12.5405,101.287
4,115,-13.4355,101.084
4,116,-14.3303,100.88
4,117,-15.225,100.675
4,118,-16.1194,100.469
4,119,-17.0137,100.262
4,120,-17.9077,100.053
4,121,-18.8015,99.8427
4,122,-19.6951,99.6309
4,123,-20.5885,99.4174
4,124,-21.4816,99.2021
4,125,-22.3744,98.985
4,126,-23.267,98.7659
4,127,-24.1593,98.5447
4,128,-25.0512,98.3214
4,129,-25.9429,98.0957
4,130,-26.8342,97.8675
4,131,-27.7251,97.6367
4,132,-28.6157,97.4032
4,133,-29.506,97.1668
4,134,-30.3958,96.9274
4,135,-31.2853,96.6848
4,136,-32.1743,96.4387
4,137,-33.0629,96.1891
4,138,-33.951,95.9357
4,139,-34.8387,95.6783
4,140,-35.7258,95.4167
4,141,-36.6125,95.1507
4,142,-37.4986,94.88
4,143,-38.3842,94.6043
4,144,-39.2692,94.3234
4,145,-40.1536,94.037
4,146,-41.0374,93.7447
4,147,-41.9206,93.4462
4,148,-42.803,93.1412
4,149,-43.6848,92.8291
4,150,-44.5658,92.5098
4,151,-45.4461,92.1825
4,152,-46.3255,91.847
4,153,-47.2041,91.5026
4,154,-48.0818,91.1487
4,155,-48.9585,90.7849
4,156,-49.8343,90.4103
4,157,-50.709,90.0243
4,158,-51.5826,89.6261
4,159,-52.455,89.2148
4,160,-53.3262,88.7895
4,161,-54.1961,88.3491
4,162,-55.0646,87.8926
4,163,-55.9316,87.4188
4,164,-56.797,86.9262
4,165,-57.6607,86.4134
4,166,-58.5226,85.8788
4,167,-59.3825,85.3205
4,168,-60.2402,84.7365
4,169,-61.0957,84.1247
4,170,-61.9486,83.4824
4,171,-62.7989,82.807
4,172,-63.6462,82.0954
4,173,-64.4902,81.344
4,174,-65.3307,80.5489
4,175,-66.1673,79.7058
4,176,-66.9996,78.8095
4,177,-67.8271,77.8545
4,178,-68.6493,76.8342
4,179,-69.4655,75.7414
4,180,-70.275,74.5677
4,181,-71.0771,73.3033
4,182,-71.8707,71.9374
4,183,-72.6546,70.4572
4,184,-73.4276,68.8482
4,185,-74.188,67.0939
4,186,-74.934,65.175
